📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2016;Tour de France;dimanche 3 juillet 2016;2;Saint-Lô;Cherbourg;183;Plat;Peter Sagan;Peter Sagan;Long format;France TV;Peu courant;Grand Tour;;4
2016;Tour de France;lundi 4 juillet 2016;3;Granville;Angers;223,5;Plat;Mark Cavendish;Peter Sagan;Long format;France TV;Peu courant;Grand Tour;;4
2016;Tour de France;mardi 5 juillet 2016;4;Saumur;Limoges;237,5;Plat;Marcel Kittel;Peter Sagan;Long format;France TV;Peu courant;Grand Tour;;4
2016;Tour de France;mercredi 6 juillet 2016;5;Limoges;Le Lioran;216;Accidentée;Greg Van Avermaet;Greg Van Avermaet;Long format;France TV;Peu courant;Grand Tour;;5
2016;Tour de France;jeudi 7 juillet 2016;6;Arpajon-sur-Cère;Montauban;190,5;Plat;Mark Cavendish;Greg Van Avermaet;Long format;France TV;Peu courant;Grand Tour;;4
2016;Tour de France;vendredi 8 juillet 2016;7;L'Isle-Jourdain;Lac de Payolle;162,5;Accidentée;Steve Cummings;Greg Van Avermaet;Long format;France TV;Peu courant;Grand Tour;;5
2016;Tour de France;samedi 9 juillet 2016;8;Pau;Luchon;184;Montagne;Christopher Froome;Christopher Froome;Long format;France TV;Peu courant;Grand Tour;;5
2016;Tour de France;dimanche 10 juillet 2016;9;Vielha;Andorre-Arcalis;184,5;Montagne;Tom Dumoulin;Christopher Froome;Intégralité;France TV;Peu courant;Grand Tour;;6
2016;Tour de France;mardi 12 juillet 2016;10;Escaldes-Engordany;Revel;197;Accidentée;Michael Matthews;Christopher Froome;Long format;France TV;Peu courant;Grand Tour;;5
2016;Tour de France;mercredi 13 juillet 2016;11;Carcassonne;Montpellier;162,5;Plat;Peter Sagan;Christopher Froome;Long format;France TV;Peu courant;Grand Tour;;4
2016;Tour de France;jeudi 14 juillet 2016;12;Montpellier;Mont Ventoux;178;Montagne;Thomas De Gendt;Christopher Froome;Long format;France TV;Peu courant;Grand Tour;;5
2016;Tour de France;vendredi 15 juillet 2016;13;Bourg-Saint-Andéol;Vallon Pont d'Arc;37,5;Chrono individuel;Tom Dumoulin;Christopher Froome;Long format;France TV;Peu courant;Grand Tour;;4
2016;Tour de France;samedi 16 juillet 2016;14;Montélimar;Villars-les-Dombes;208,5;Plat;Mark Cavendish;Christopher Froome;Long format;France TV;Peu courant;Grand Tour;;4
