📆 Saison;🚴‍♂️ Course;📅 Date;🔢 Etape;🟢 Ville départ;🏁 Ville d'arrivée;📏 Distance;🌄 Type;🥇 Vainqueur;👑 Leader général;Format vidéo;📺 Diffuseur;Rareté;Type de course;Titre;Prix vidéo
2018;Tour de Lombardie;13-oct-18;;Bergame;Côme;241;Classique;Thibaut Pinot;;Long format;L'Equipe TV;Très rare;Classique ou Semi-classique;;6
2019;Amstel Gold Race;21-avr-19;;Maastricht;Berg en Terblijt;265;Classique;Mathieu van der Poel;;Long format;Eurosport;Très rare;Classique ou Semi-classique;;5,5
2019;Giro;11-mai-19;0;Bologne;Sanctuaire Madonna di San Luca;8;Prologue;Primož Roglič;Primož Roglič;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;12-mai-19;1;Bologne;Fucecchio;205;Accidentée;Pascal Ackermann;Primož Roglič;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;13-mai-19;2;Vinci;Ortebello;220;Plat;Fernando Gaviria;Primož Roglič;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;14-mai-19;3;Ortebello;Frascati;235;Plat;Richard Carapaz;Primož Roglič;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;15-mai-19;4;Frascati;Terracine;140;Plat;Pascal Ackermann;Primož Roglič;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;16-mai-19;5;Cassino;San Giovanni Rotondo;238;Accidentée;Fausto Masnada;Valerio Conti;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;17-mai-19;6;Vasto;L'Aquila;185;Accidentée;Pello Bilbao;Valerio Conti;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;18-mai-19;7;Tortoreto;Pesaro;239;Accidentée;Caleb Ewan;Valerio Conti;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;19-mai-19;8;Riccione;Saint-Marin;35;Chrono individuel;Primož Roglič;Valerio Conti;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;21-mai-19;9;Ravenne;Modène;145;Plat;Arnaud Démare;Valerio Conti;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;22-mai-19;10;Carpi;Novi Ligure;221;Plat;Caleb Ewan;Valerio Conti;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;23-mai-19;11;Coni;Pinerolo;158;Accidentée;Cesare Benedetti;Jan Polanc;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;24-mai-19;12;Pinerolo;Ceresole Reale;196;Montagne;Ilnur Zakarin;Jan Polanc;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;25-mai-19;13;Saint-Vincent;Courmayeur;131;Montagne;Richard Carapaz;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;26-mai-19;14;Ivrée;Côme;232;Accidentée;Dario Cataldo;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;28-mai-19;15;Lovere;Ponte di Legno;194;Montagne;Giulio Ciccone;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;29-mai-19;16;Commezzadura;Rasun-Anterselva;181;Accidentée;Nans Peters;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;30-mai-19;17;Valdaora;Santa Maria di Sala;222;Plat;Damiano Cima;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;31-mai-19;18;Trévise;San Martino di Castrozza;151;Accidentée;Esteban Chaves;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;01-juin-19;19;Feltre;Croce d'Aune;194;Montagne;Pello Bilbao;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Giro;02-juin-19;20;Vérone;Vérone;17;Chrono individuel;Chad Haga;Richard Carapaz;Long format;L'Equipe TV;Peu courant;Grand Tour;;4,5
2019;Tour de France;06-juil-19;1;Bruxelles;Bruxelles;194,5;Plat;Mike Teunissen;Mike Teunissen;Intégralité;France TV;Peu courant;Grand Tour;;5,5
2019;Tour de France;07-juil-19;2;Bruxelles;Bruxelles;27,6;Chrono par équipe;Jumbo-Visma;Mike Teunissen;Intégralité;France TV;Peu courant;Grand Tour;;5,5
